scenario,assumed_average_dau,assumed_daily_impressions_per_dau,assumed_publisher_ecpm_krw,days,modeled_ad_revenue_krw_before_operating_costs_and_tax
low_monetization,100,1.5,5000,30,22500
middle_assumption,100,3,10000,30,90000
high_monetization,100,5,20000,30,300000
low_monetization,1000,1.5,5000,30,225000
middle_assumption,1000,3,10000,30,900000
high_monetization,1000,5,20000,30,3000000
low_monetization,5000,1.5,5000,30,1125000
middle_assumption,5000,3,10000,30,4500000
high_monetization,5000,5,20000,30,15000000
